,Company,TypeName,CPU_Frequency (GHz),RAM (GB),GPU_Company,Weight (kg),Price (Euro),Touchscreen,Ips,ppi,CPU,CPU_Tier,HDD,SSD,GPU_Tier,OS
430,Samsung,Netbook,1.6,4,Intel,1.15,269.0,0,0,135.0942111925629,Celeron,1,0,0,2,Other
431,Lenovo,Notebook,2.7,8,Intel,1.4,1010.0,0,1,165.6321180513006,Core i7,4,0,256,2,Windows
432,Lenovo,Notebook,2.7,4,Intel,1.7,599.0,0,1,157.3505121487356,Core i3,2,0,128,2,Windows
433,Lenovo,Workstation,2.8,16,Nvidia,2.3,2445.0,0,1,282.42399616439724,Core i7,4,0,512,2,Windows
434,Lenovo,Notebook,2.9,16,Nvidia,2.5,2449.0,0,0,141.21199808219862,Core i7,4,0,512,2,Windows
435,Asus,Gaming,3.2,8,AMD,3.2,1695.0,0,0,127.33567457123111,Ryzen,2,1000,256,2,Windows
436,HP,Notebook,1.6,4,Intel,2.1,347.0,0,0,100.45466986113651,Celeron,1,500,0,2,Windows
437,Google,Ultrabook,1.3,16,Intel,1.1,2199.0,1,0,234.50740003017813,Core i7,4,0,512,2,Other
438,Lenovo,Ultrabook,2.7,24,Intel,1.32,2382.0,0,0,209.8006828649808,Core i7,4,0,512,2,Windows
439,Asus,Notebook,2.5,4,Intel,2.0,559.0,0,0,141.21199808219862,Core i5,3,0,256,2,Other
440,Lenovo,Notebook,2.5,8,AMD,2.8,519.0,0,0,106.11306214269258,A6-Series,1,1000,0,2,Windows
441,Dell,Notebook,1.6,4,AMD,2.2,749.0,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
442,Lenovo,Ultrabook,2.5,8,Intel,1.36,1429.0,0,1,176.23257360658386,Core i5,3,0,256,2,Windows
443,Lenovo,Notebook,1.1,4,Intel,2.2,349.0,0,0,141.21199808219862,Pentium,1,0,128,2,Windows
444,HP,Gaming,2.8,8,Nvidia,2.2,1099.0,0,1,141.21199808219862,Core i7,4,1000,128,3,Windows
445,Dell,Notebook,2.8,8,Nvidia,1.64,1179.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
446,Acer,Notebook,2.5,4,Intel,2.4,441.8,0,0,100.45466986113651,Core i5,3,500,0,2,Other
447,Dell,Workstation,3.0,8,Nvidia,2.23,1993.0,0,0,141.21199808219862,Xeon,4,1000,0,2,Windows
448,MSI,Gaming,2.5,8,Nvidia,2.2,1027.74,0,0,141.21199808219862,Core i5,3,0,256,3,Windows
449,Microsoft,Ultrabook,2.5,16,Intel,1.25,2589.0,1,0,200.84255993695703,Core i7,4,0,512,2,Windows
450,HP,Notebook,2.5,8,Intel,1.91,589.0,0,0,100.45466986113651,Core i5,3,0,128,2,Windows
451,Dell,Workstation,2.7,16,Nvidia,2.17,1975.0,0,1,141.21199808219862,Core i7,4,0,256,2,Windows
452,HP,Workstation,2.9,8,Intel,2.31,1534.0,0,1,141.21199808219862,Core i7,4,0,512,2,Windows
453,Lenovo,Notebook,2.5,8,Intel,1.65,1345.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
454,Dell,Notebook,1.8,8,AMD,2.36,979.0,0,0,141.21199808219862,Core i7,4,1000,128,2,Windows
455,Dell,2 in 1 Convertible,1.6,4,Intel,1.47,479.0,1,0,135.0942111925629,Pentium,1,500,0,2,Windows
456,Dell,Notebook,2.7,8,Nvidia,4.42,2046.0,0,1,127.33567457123111,Core i7,4,1000,0,4,Windows
457,Microsoft,Ultrabook,2.2,4,Intel,1.252,989.0,1,0,200.84255993695703,Core M,2,0,128,2,Windows
458,Microsoft,Ultrabook,2.5,8,Intel,1.25,1799.0,1,0,200.84255993695703,Core i7,4,0,256,2,Windows
459,HP,Notebook,2.0,8,Intel,2.5,639.9,0,0,106.11306214269258,Core i3,2,0,256,2,Windows
460,Acer,Notebook,2.0,4,Nvidia,2.23,544.0,0,0,141.21199808219862,Core i3,2,1000,0,2,Windows
461,Acer,Netbook,1.6,4,Intel,1.4,435.0,0,0,135.0942111925629,Celeron,1,0,128,2,Windows
462,Asus,Notebook,2.5,8,Intel,2.37,749.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
463,Lenovo,Notebook,2.7,8,AMD,1.5,799.0,0,1,157.3505121487356,Core i7,4,0,512,2,Other
464,Lenovo,Notebook,2.9,8,Nvidia,2.67,2090.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
465,Asus,Notebook,1.1,4,Intel,2.0,304.0,0,0,100.45466986113651,Pentium,1,500,0,2,Windows
466,Acer,Notebook,2.0,4,Nvidia,2.2,469.0,0,0,100.45466986113651,Core i3,2,500,0,2,Windows
467,Dell,Notebook,1.6,8,AMD,2.02,759.0,0,0,141.21199808219862,Core i5,3,2000,0,2,Windows
468,HP,Gaming,2.8,12,Nvidia,3.78,1699.0,0,1,127.33567457123111,Core i7,4,1000,0,4,Windows
469,Lenovo,Ultrabook,2.6,12,Intel,1.4,1858.0,0,1,209.8006828649808,Core i7,4,0,256,2,Windows
470,HP,2 in 1 Convertible,1.8,8,Intel,1.29,1999.0,1,1,331.2642361026012,Core i7,4,0,512,2,Windows
471,HP,Notebook,2.5,8,AMD,1.9,1154.0,0,0,141.21199808219862,Core i5,3,500,0,2,Windows
472,Google,Ultrabook,1.2,8,Intel,1.1,1275.0,1,0,234.50740003017813,Core i5,3,0,128,2,Other
473,Dell,Ultrabook,1.6,8,Intel,1.42,1841.85,1,0,165.6321180513006,Core i5,3,0,256,2,Windows
474,Asus,Notebook,2.6,12,Intel,2.06,1299.0,0,1,282.42399616439724,Core i7,4,1000,128,2,Windows
475,Dell,Notebook,2.3,8,Intel,1.79,740.0,0,0,111.93520355955211,Core i3,2,0,128,2,Windows
476,Dell,Workstation,2.8,8,Nvidia,1.78,2408.0,0,0,141.21199808219862,Core i7,4,0,256,2,Windows
477,Lenovo,Notebook,2.5,8,Intel,1.7,1364.0,0,0,157.3505121487356,Core i5,3,0,180,2,Windows
478,Dell,Notebook,1.6,8,AMD,2.2,675.0,0,0,141.21199808219862,Core i5,3,1000,0,2,Windows
479,Toshiba,Notebook,2.5,8,Intel,1.05,1672.0,0,1,165.6321180513006,Core i5,3,0,256,2,Windows
480,Dell,Notebook,1.8,8,Nvidia,2.16,1262.0,0,1,141.21199808219862,Core i7,4,0,512,2,Windows
